DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
200313152204_OlE_HR_IPF0_28C_2x,133,WE00037,D012,LO002,CO1,23.79,v1.4(may22-region),422.781,0.067,7346.000,247.706,6758.000,0.527,0.821,16.000,2.000,0.967,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,137,WE00041,D008,LO002,CO1,23.78,v1.4(may22-region),622.617,0.097,9101.000,427.931,11096.000,0.616,0.858,41.000,6.000,0.973,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,145,WE00049,E001,LO002,CO1,23.8,v1.4(may22-region),680.818,0.128,9132.000,175.979,10658.000,0.389,0.504,23.000,6.000,0.860,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,160,WE00064,F009,LO002,CO1,23.79,v1.4(may22-region),436.640,0.214,4188.000,93.881,3357.000,0.592,0.948,20.000,3.000,0.929,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,163,WE00067,F006,LO002,CO1,23.77,v1.4(may22-region),475.202,0.309,6690.000,49.294,5336.000,0.455,0.674,15.000,2.000,0.920,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,164,WE00068,F005,LO002,CO1,23.82,v1.4(may22-region),741.492,0.083,12036.000,1231.484,10126.000,0.602,0.805,102.000,12.000,0.987,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,171,WE00075,G003,LO002,CO1,23.8,v1.4(may22-region),376.509,0.155,4117.000,55.562,4382.000,0.674,0.939,9.000,2.000,0.993,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,173,WE00077,G005,LO002,CO1,23.82,v1.4(may22-region),362.674,0.043,5189.000,216.856,2912.000,0.681,0.895,9.000,2.000,0.989,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,176,WE00080,G008,LO002,CO1,23.77,v1.4(may22-region),671.480,0.085,8081.000,376.190,8751.000,0.765,0.939,32.000,8.000,0.995,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,178,WE00082,G010,LO002,CO1,23.78,v1.4(may22-region),589.157,0.071,7581.000,1802.946,7945.000,0.711,0.988,129.000,11.000,0.984,0.000,239.000,0.000,155.000,155.000,0.000
